datetime,cash,long_value,short_exposure,total_value
2026-07-01 09:00,180410,548039,218719,509730
2026-07-01 09:30,180410,546189,218419,508180
2026-07-01 10:00,180410,544550,217689,507270
2026-07-01 10:30,180410,545380,217760,508029
2026-07-01 11:00,180410,545280,217250,508440
2026-07-01 11:30,180410,347880,217230,311059
2026-07-01 12:30,180410,544530,217529,507410
2026-07-01 13:00,180410,541800,218090,504119
2026-07-01 13:30,180410,542350,218060,504699
2026-07-01 14:00,180410,503709,219209,464910
2026-07-01 14:30,180410,543610,219650,504369
2026-07-01 15:00,180410,543209,218800,504819
2026-07-02 09:00,180410,558069,220570,517909
2026-07-02 09:30,180410,558390,220239,518560
2026-07-02 10:00,180410,556509,221560,515359
2026-07-02 10:30,180410,556830,221800,515439
2026-07-02 11:00,180410,557810,221750,516469
2026-07-02 11:30,180410,415630,221630,374409
2026-07-02 12:30,180410,556489,222639,514260
2026-07-02 13:00,180410,556359,222390,514379
2026-07-02 13:30,180410,555900,222030,514279
2026-07-02 14:00,180410,556700,222400,514709
2026-07-02 14:30,180410,556100,221550,514959
2026-07-02 15:00,180410,555440,220210,515640
2026-07-03 09:00,157510,576230,214700,519040
2026-07-03 09:30,157510,577800,214230,521079
2026-07-03 10:00,157510,578519,214560,521469
2026-07-03 10:30,157510,578570,216090,519989
2026-07-03 11:00,157510,578180,215860,519829
2026-07-03 11:30,157510,550780,215939,492350
2026-07-03 12:30,157510,578719,216120,520109
2026-07-03 13:00,157510,577650,215840,519319
2026-07-03 13:30,157510,577269,215730,519049
2026-07-03 14:00,157510,577210,215390,519329
2026-07-03 14:30,157510,577350,215260,519599
2026-07-03 15:00,157510,575530,215270,517769
2026-07-06 09:00,130300,479119,88839,520580
2026-07-06 09:30,130300,480239,88810,521729
2026-07-06 10:00,130300,480189,88539,521950
2026-07-06 10:30,130300,453760,88469,495590
2026-07-06 11:00,130300,481519,88409,523410
2026-07-06 11:30,130300,364939,88389,406850
2026-07-06 12:30,130300,481150,88529,522920
2026-07-06 13:00,130300,480619,88570,522349
2026-07-06 13:30,130300,479819,88610,521509
2026-07-06 14:00,130300,480439,88339,522400
2026-07-06 14:30,130300,481070,88300,523070
2026-07-06 15:00,130300,479889,88260,521929
2026-07-07 09:00,130300,483459,87760,525999
2026-07-07 09:30,130300,484630,87529,527400
2026-07-07 10:00,130300,483670,87100,526870
2026-07-07 10:30,130300,483750,86560,527489
2026-07-07 11:00,130300,483130,86510,526919
2026-07-07 11:30,130300,438839,86520,482619
2026-07-07 12:30,130300,482990,86270,527019
2026-07-07 13:00,130300,484020,86800,527520
2026-07-07 13:30,130300,484430,86759,527970
2026-07-07 14:00,130300,484160,86700,527760
2026-07-07 14:30,130300,484050,86860,527489
2026-07-07 15:00,130300,483160,86770,526689
2026-07-08 09:00,180300,435490,86610,529180
2026-07-08 09:30,180300,435239,87100,528439
2026-07-08 10:00,180300,435209,86600,528909
2026-07-08 10:30,180300,434630,87340,527589
2026-07-08 11:00,180300,434850,87250,527900
2026-07-08 11:30,180300,341069,87289,434080
2026-07-08 12:30,180300,435689,88129,527860
2026-07-08 13:00,180300,435500,87620,528179
2026-07-08 13:30,180300,436250,87520,529029
2026-07-08 14:00,180300,436600,87629,529270
2026-07-08 14:30,180300,436800,87470,529629
2026-07-08 15:00,180300,436390,87950,528740
2026-07-09 09:00,180300,434110,85530,528879
2026-07-09 09:30,180300,434539,85439,529400
2026-07-09 10:00,180300,434760,85400,529660
2026-07-09 10:30,180300,435140,85179,530260
2026-07-09 11:00,180300,436100,85089,531310
2026-07-09 11:30,180300,340600,85130,435769
2026-07-09 12:30,180300,435889,85620,530569
2026-07-09 13:00,180300,435600,85750,530150
2026-07-09 13:30,180300,436120,86300,530120
2026-07-09 14:00,180300,435669,86150,529819
2026-07-09 14:30,180300,435359,86810,528849
2026-07-09 15:00,180300,438269,86920,531649
2026-07-10 09:00,144400,425250,38800,530850
2026-07-10 09:30,144400,425459,39020,530839
2026-07-10 10:00,144400,413430,38760,519069
2026-07-10 10:30,144400,425900,39000,531300
2026-07-10 11:00,144400,426700,39020,532079
2026-07-10 11:30,144400,348900,39029,454270
2026-07-10 12:30,144400,426939,38960,532379
2026-07-10 13:00,144400,426410,38929,531880
2026-07-10 13:30,144400,426269,38960,531709
2026-07-10 14:00,144400,426429,38860,531969
2026-07-10 14:30,144400,426530,38920,532009
2026-07-10 15:00,144400,426550,38929,532020
2026-07-13 09:00,84460,448789,0,533249
2026-07-13 09:30,84460,445890,0,530350
2026-07-13 10:00,84460,445159,0,529619
2026-07-13 10:30,84460,446470,0,530930
2026-07-13 11:00,84460,446939,0,531399
2026-07-13 11:30,84460,410739,0,495199
2026-07-13 12:30,84460,446780,0,531240
2026-07-13 13:00,84460,445030,0,529490
2026-07-13 13:30,84460,445759,0,530219
2026-07-13 14:00,84460,405430,0,489890
2026-07-13 14:30,84460,445710,0,530170
2026-07-13 15:00,84460,445339,0,529799
2026-07-14 09:00,180960,353229,0,534189
2026-07-14 09:30,180960,312719,0,493679
2026-07-14 10:00,180960,354150,0,535110
2026-07-14 10:30,180960,353529,0,534489
2026-07-14 11:00,180960,353620,0,534580
2026-07-14 11:30,180960,312929,0,493889
2026-07-14 12:30,180960,355159,0,536119
2026-07-14 13:00,180960,355619,0,536579
2026-07-14 13:30,180960,355689,0,536649
2026-07-14 14:00,180960,355280,0,536240
2026-07-14 14:30,180960,354369,0,535329
2026-07-14 15:00,180960,352959,0,533919
2026-07-15 09:00,140420,394779,0,535199
2026-07-15 09:30,140420,394610,0,535030
2026-07-15 10:00,140420,393730,0,534150
2026-07-15 10:30,140420,394650,0,535070
2026-07-15 11:00,140420,393910,0,534330
2026-07-15 11:30,140420,208200,0,348620
2026-07-15 12:30,140420,394410,0,534830
2026-07-15 13:00,140420,394460,0,534880
2026-07-15 13:30,140420,394620,0,535040
2026-07-15 14:00,140420,394640,0,535060
2026-07-15 14:30,140420,394909,0,535329
2026-07-15 15:00,140420,394299,0,534719
2026-07-16 09:00,140420,397910,0,538330
2026-07-16 09:30,140420,398060,0,538480
2026-07-16 10:00,140420,397090,0,537510
2026-07-16 10:30,140420,397270,0,537690
2026-07-16 11:00,140420,396739,0,537159
2026-07-16 11:30,140420,276810,0,417230
2026-07-16 12:30,140420,396300,0,536720
2026-07-16 13:00,140420,396109,0,536529
2026-07-16 13:30,140420,395880,0,536300
2026-07-16 14:00,140420,355789,0,496209
2026-07-16 14:30,140420,394910,0,535330
2026-07-16 15:00,140420,394310,0,534730
2026-07-17 09:00,140420,394660,0,535080
2026-07-17 09:30,140420,394490,0,534910
2026-07-17 10:00,140420,395239,0,535659
2026-07-17 10:30,140420,394160,0,534580
2026-07-17 11:00,140420,394130,0,534550
2026-07-17 11:30,140420,354150,0,494570
2026-07-17 12:30,140420,394020,0,534440
2026-07-17 13:00,140420,393039,0,533459
2026-07-17 13:30,140420,392130,0,532550
2026-07-17 14:00,140420,391860,0,532280
2026-07-17 14:30,140420,391520,0,531940
2026-07-17 15:00,140420,392109,0,532529
2026-07-20 09:00,140420,392010,0,532430
2026-07-21 09:00,140420,392010,0,532430
2026-07-21 09:10,140420,392010,0,532430
2026-07-21 09:20,149920,387370,0,537290
2026-07-21 09:30,149920,389210,0,539130
2026-07-21 09:40,149920,389000,0,538920
2026-07-21 09:50,149920,388760,0,538680
2026-07-21 10:00,149920,388600,0,538520
2026-07-21 10:10,149920,387790,0,537710
2026-07-21 10:20,149920,387750,0,537670
2026-07-21 10:30,149920,388930,0,538850
2026-07-21 10:40,149920,388570,0,538490
2026-07-21 10:50,149920,389030,0,538950
2026-07-21 11:00,149920,389060,0,538980
2026-07-21 11:10,149920,389210,0,539130
2026-07-21 11:20,149920,389230,0,539150
2026-07-21 11:30,149920,389530,0,539450
2026-07-21 11:40,149920,389210,0,539130
2026-07-21 11:50,149920,388990,0,538910
2026-07-21 12:00,149920,388990,0,538910
2026-07-21 12:10,149920,388990,0,538910
2026-07-21 12:20,149920,388990,0,538910
2026-07-21 12:30,149920,388990,0,538910
2026-07-21 12:40,149920,388990,0,538910
2026-07-21 12:50,149920,388170,0,538090
2026-07-21 13:00,149920,387620,0,537540
2026-07-21 13:10,149920,387310,0,537230
2026-07-21 13:20,149920,386860,0,536780
2026-07-21 13:30,149920,386860,0,536780
2026-07-21 13:40,149920,386740,0,536660
2026-07-21 13:50,149920,387180,0,537100
2026-07-21 14:00,149920,386970,0,536890
2026-07-21 14:10,149920,387290,0,537210
2026-07-21 14:20,149920,387010,0,536930
2026-07-21 14:30,149920,386890,0,536810
2026-07-21 14:40,149920,386640,0,536560
2026-07-21 14:50,149920,386530,0,536450
2026-07-21 15:00,149920,386380,0,536300
2026-07-21 15:10,149920,386480,0,536400
2026-07-21 15:20,149920,387190,0,537110
2026-07-21 15:30,149920,387010,0,536930
2026-07-22 09:00,149920,387030,0,536950
