datetime,cash,long_value,short_exposure,total_value
2026-06-19 09:00,500000,0,0,500000
2026-06-19 09:10,500000,0,0,500000
2026-06-19 09:20,468200,154400,125300,497300
2026-06-19 09:30,468200,153800,125579,496420
2026-06-19 09:40,468200,153200,124800,496600
2026-06-19 09:50,468200,153000,124490,496709
2026-06-19 10:00,468200,152900,123940,497159
2026-06-19 10:10,468200,152400,124340,496259
2026-06-19 10:20,468200,152300,124079,496420
2026-06-19 10:30,468200,152400,124129,496470
2026-06-19 10:40,468200,152900,124059,497040
2026-06-19 10:50,468200,153000,124270,496929
2026-06-19 11:00,468200,153300,124440,497059
2026-06-19 11:10,468200,152900,124279,496820
2026-06-19 11:20,468200,153300,124309,497190
2026-06-19 11:30,468200,153200,124009,497390
2026-06-19 12:30,468200,152900,123859,497240
2026-06-19 12:40,468200,153100,123959,497340
2026-06-19 12:50,468200,152700,123750,497150
2026-06-19 13:00,468200,152300,123929,496570
2026-06-19 13:10,468200,152400,123659,496940
2026-06-19 13:20,468200,152600,123820,496979
2026-06-19 13:30,468200,152600,123940,496859
2026-06-19 13:40,468200,152600,123870,496929
2026-06-19 13:50,468200,152600,123720,497079
2026-06-19 14:00,468200,152500,123570,497129
2026-06-19 14:10,468200,152600,123309,497490
2026-06-19 14:20,468200,152500,123429,497270
2026-06-19 14:30,468200,152500,123270,497429
2026-06-19 14:40,468200,153000,123209,497990
2026-06-19 14:50,468200,152800,123089,497910
2026-06-19 15:00,468200,152600,123370,497429
2026-06-19 15:10,468200,152800,123459,497540
2026-06-19 15:20,468200,153500,123529,498170
2026-06-19 15:30,468200,153500,123529,498170
2026-06-22 09:00,410400,230600,142110,498889
2026-06-22 09:30,410400,230900,141820,499479
2026-06-22 10:00,410400,229600,141229,498770
2026-06-22 10:30,410400,229200,140620,498979
2026-06-22 11:00,410400,229000,139650,499750
2026-06-22 11:30,410400,89300,139570,360129
2026-06-22 12:30,410400,229200,139639,499960
2026-06-22 13:00,410400,228800,139310,499889
2026-06-22 13:30,410400,229100,139279,500220
2026-06-22 14:00,410400,229800,139050,501150
2026-06-22 14:30,410400,229500,138270,501629
2026-06-22 15:00,410400,230300,138000,502700
2026-06-23 09:00,275180,344400,115900,503680
2026-06-23 09:30,275180,344800,115500,504480
2026-06-23 10:00,275180,344100,115500,503780
2026-06-23 10:30,275180,344900,115900,504180
2026-06-23 11:00,275180,344900,116100,503980
2026-06-23 11:30,275180,345000,116200,503980
2026-06-23 12:30,275180,345500,115800,504880
2026-06-23 13:00,275180,345500,116100,504580
2026-06-23 13:30,275180,344200,115400,503980
2026-06-23 14:00,275180,343800,115300,503680
2026-06-23 14:30,275180,344000,115400,503780
2026-06-23 15:00,275180,342200,115200,502180
2026-06-24 09:00,425110,269500,192110,502499
2026-06-24 09:30,425110,269500,190239,504370
2026-06-24 10:00,425110,269100,191250,502960
2026-06-24 10:30,425110,269200,191439,502870
2026-06-24 11:00,425110,268800,190250,503660
2026-06-24 11:30,425110,147600,190310,382399
2026-06-24 12:30,425110,269000,191219,502890
2026-06-24 13:00,425110,269100,190929,503280
2026-06-24 13:30,425110,269200,190289,504020
2026-06-24 14:00,425110,268600,191350,502360
2026-06-24 14:30,425110,268500,191410,502199
2026-06-24 15:00,425110,268700,191639,502170
2026-06-25 09:00,425110,271200,190219,506090
2026-06-25 09:30,425110,271300,190650,505760
2026-06-25 10:00,425110,271200,191119,505190
2026-06-25 10:30,425110,271700,190959,505850
2026-06-25 11:00,425110,272000,191500,505610
2026-06-25 11:30,425110,174800,191479,408430
2026-06-25 12:30,425110,271100,191710,504499
2026-06-25 13:00,425110,270800,192360,503549
2026-06-25 13:30,425110,270800,192189,503720
2026-06-25 14:00,425110,271000,192910,503199
2026-06-25 14:30,425110,271100,191810,504399
2026-06-25 15:00,425110,270800,191300,504610
2026-06-26 09:00,391210,269400,154750,505860
2026-06-26 09:30,391210,269600,154589,506220
2026-06-26 10:00,391210,270100,154790,506519
2026-06-26 10:30,391210,270800,154300,507710
2026-06-26 11:00,391210,271300,154089,508420
2026-06-26 11:30,391210,142700,153980,379929
2026-06-26 12:30,391210,270100,153870,507439
2026-06-26 13:00,391210,270100,154120,507189
2026-06-26 13:30,391210,270000,154140,507069
2026-06-26 14:00,391210,270800,155020,506989
2026-06-26 14:30,391210,271000,154770,507439
2026-06-26 15:00,391210,271100,154510,507799
2026-06-29 09:00,336870,341900,167920,510849
2026-06-29 09:30,336870,341900,167800,510970
2026-06-29 10:00,336870,341500,167749,510620
2026-06-29 10:30,336870,342700,167460,512109
2026-06-29 11:00,336870,343100,167750,512219
2026-06-29 11:30,336870,309100,167789,478180
2026-06-29 12:30,336870,342900,167369,512400
2026-06-29 13:00,336870,342400,167219,512050
2026-06-29 13:30,336870,342700,166779,512790
2026-06-29 14:00,336870,342500,166970,512399
2026-06-29 14:30,336870,342800,167260,512409
2026-06-29 15:00,336870,342900,167600,512170
2026-06-30 09:00,239560,478900,205800,512660
2026-06-30 09:30,239560,479500,206090,512969
2026-06-30 10:00,239560,479400,206920,512039
2026-06-30 10:30,239560,477900,207600,509859
2026-06-30 11:00,239560,477900,206960,510499
2026-06-30 11:30,239560,477700,206900,510359
2026-06-30 12:30,239560,478000,207250,510310
2026-06-30 13:00,239560,478600,207060,511099
2026-06-30 13:30,239560,478900,207030,511429
2026-06-30 14:00,239560,479900,206739,512720
2026-06-30 14:30,239560,480500,207000,513059
2026-06-30 15:00,239560,480700,206829,513430
