date,time,symbol,action,shares,price,status,cash_after
2026-07-22,09:05,8593,BUY,100,1440,FILLED,356000
2026-07-22,09:05,9602,BUY,100,,UNFILLED,356000
2026-07-22,09:05,5401,BUY,100,593,FILLED,296610
2026-07-22,09:05,8628,BUY,100,1096,FILLED,187010
2026-07-22,09:05,9831,BUY,100,723,FILLED,114700
2026-07-22,09:05,9506,BUY,100,1138,FILLED,900
