date,cash,long_value,short_exposure,total_value
2026-07-21,500000,0,0,500000
2026-07-22,900,499100,0,500000
2026-07-23,900,499100,0,500000
2026-07-24,900,501690,0,502590
2026-07-24,900,501690,0,502590
