date,time,symbol,action,shares,price,status,cash_after
2026-07-27,08:30,4373,BUY,100,,WAIT,500000
2026-07-27,08:30,5019,BUY,100,,WAIT,500000
2026-07-27,08:30,8346,BUY,100,,WAIT,500000
2026-07-27,08:30,3861,BUY,100,,WAIT,500000
2026-07-27,08:30,9997,BUY,100,,WAIT,500000
2026-07-27,08:30,4784,SHORT,300,,WAIT,500000
